slug,series,title,date,tags,excerpt,lang,fileName,cover
post-08,rust,"Rust - pub, pub(crate), pub(super), pub(in )",2026-02-03T01:26:00,🦀rust,Ý nghĩa và cách sử dụng các visible modifier trong Rust.,vn,"08-rust-pub, pub(crate), pub(super), pub(in ).md",https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2F6cfcWzsvLrA%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=eac97de267a677d4d2149310d49f9b2da7816f61a32998a81620d80389390e64
post-07,csharp,C# Factories,2026-01-16T01:26:00,csharp,So sánh hiệu năng các phương pháp xây dựng Factory trong C#.,vn,07-cSharp-factory.md,https://media.geeksforgeeks.org/wp-content/uploads/20240402150351/Factory-Method-Design-Pattern-.webp
post-06,rust,Cài đặt Vulkan trên macOS,2026-01-14T01:26:00,🦀rust|vulkan,Cài đặt cơ bản dành cho macOS khi làm việc với Rust và Vulkan.,vn,06-setup-vulkan-rust-macOS.md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd4hxsajtTMpwD_kEhUspdjSJIWLGtE22c5g&s
post-03,productivity,Gia tăng hiệu suất làm việc cùng Terminal,2026-01-01T22:25:00,productivity,Terminal là gì ? Một số ứng dụng thực tế sử dụng Terminal.,vn,03-mac-terminal.md,https://github.com/hoangcuongzk1/hoangcuongzk1.github.io/blob/main/docs/shared/post-03/my_terminal_preview.png?raw=true
post-05,rust,Cài đặt Rust trên MacOS,2026-01-01T01:26:00,🦀rust,Cách cài đặt Rust trên macOS.,vn,05-install-rust-macOS.md,https://i.ytimg.com/vi/yt8ujLidMYE/sddefault.jpg?sqp=-oaymwEmCIAFEOAD8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGEAgTyhyMA8=&rs=AOn4CLDpJbU3fCmn2jrNXH5TZ5CthPFqxg
post-04,rust,Tổng hợp các tài liệu để học Rust,2026-01-01T01:02:00,🦀rust,"Danh sách trang web, youtube channel, book,... để học Rust.",vn,04-rust-documents.md,https://addons.mozilla.org/user-media/previews/full/231/231838.png?modified=1622134884
post-02,computer-hardwares,Máy tính đục lỗ,2025-12-13T05:56:00,hardware,Cách máy tính đục lỗ - punch card hoạt động.,vn,02-how-punch-card-works.md,https://twobithistory.org/images/ibm029_front.jpg
post-01,talk,Khởi đầu,2025-12-09T01:26:00,talk,"Lý do trang web này tồn tại, các nội dung mà trang sẽ có.",vn,01-first-post.md,https://cdn11.bigcommerce.com/s-8e25iavqdi/images/stencil/1280x1280/products/121929/138853/the-hobbit-an-unexpected-journey-4-cover-art-sticker-ACF054879__04107.1650926362.jpg?c=2
post-00,debug,Markdown rendering,2025-12-08T01:26:00,test,Convert markdown -> HTML.,vn,00-test.md,https://i.pinimg.com/originals/82/71/47/82714763ab84910774a889d31ca8e4c1.gif
